threshold,accuracy,precision,recall,f1,far,frr
1.5022928891994525e-05,0.788,0.702247191011236,1.0,0.8250825082508251,0.424,0.0
1.5432073269039392e-05,0.79,0.704225352112676,1.0,0.8264462809917356,0.42,0.0
1.623944081075024e-05,0.792,0.7062146892655368,1.0,0.8278145695364238,0.416,0.0
1.6253556168521754e-05,0.794,0.7082152974504249,1.0,0.8291873963515755,0.412,0.0
1.7807040421757847e-05,0.796,0.7102272727272727,1.0,0.8305647840531561,0.408,0.0
1.8012096916208975e-05,0.798,0.7122507122507122,1.0,0.831946755407654,0.404,0.0
1.845499537012074e-05,0.8,0.7142857142857143,1.0,0.8333333333333334,0.4,0.0
1.876709757198114e-05,0.802,0.7163323782234957,1.0,0.8347245409015025,0.396,0.0
1.9100354620604776e-05,0.804,0.7183908045977011,1.0,0.8361204013377926,0.392,0.0
2.0349480109871365e-05,0.806,0.7204610951008645,1.0,0.8375209380234506,0.388,0.0
2.0600798961822875e-05,0.808,0.7225433526011561,1.0,0.8389261744966443,0.384,0.0
2.1721061784774065e-05,0.81,0.7246376811594203,1.0,0.8403361344537815,0.38,0.0
2.182792013627477e-05,0.812,0.7267441860465116,1.0,0.8417508417508418,0.376,0.0
2.297982427990064e-05,0.814,0.7288629737609329,1.0,0.8431703204047217,0.372,0.0
2.3014894395601004e-05,0.816,0.7309941520467836,1.0,0.8445945945945946,0.368,0.0
